site,scenario,year,proposal_id,proposal_label,measure,metric_column,value,notes,last_updated
trimmed-parade,positive,0,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,12689,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,positive,0,decay,Decay,decay opportunity voxels,opportunity_voxel_count,15007,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,0,decay,Decay,trees reaching senescence,opportunity_tree_count,0,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,0,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,0,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,0,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,390149,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,0,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,270263,All arboreal voxels.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,10,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,8901,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,positive,10,decay,Decay,decay opportunity voxels,opportunity_voxel_count,11164,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,10,decay,Decay,trees reaching senescence,opportunity_tree_count,12,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,10,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,10,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,10,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,411345,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,10,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,293590,All arboreal voxels.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,30,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,37878,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,positive,30,decay,Decay,decay opportunity voxels,opportunity_voxel_count,48916,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,30,decay,Decay,trees reaching senescence,opportunity_tree_count,94,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,30,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,30,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,30,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,462568,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,30,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,309776,All arboreal voxels.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,60,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,44163,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,positive,60,decay,Decay,decay opportunity voxels,opportunity_voxel_count,57397,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,60,decay,Decay,trees reaching senescence,opportunity_tree_count,204,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,60,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,60,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,60,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,492363,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,60,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,332900,All arboreal voxels.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,90,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,44723,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,positive,90,decay,Decay,decay opportunity voxels,opportunity_voxel_count,60755,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,90,decay,Decay,trees reaching senescence,opportunity_tree_count,408,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,90,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,90,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,90,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,518726,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,90,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,350433,All arboreal voxels.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,120,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,46403,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,positive,120,decay,Decay,decay opportunity voxels,opportunity_voxel_count,63183,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,120,decay,Decay,trees reaching senescence,opportunity_tree_count,444,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,120,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,120,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,120,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,543986,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,120,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,376344,All arboreal voxels.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,150,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,47367,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,positive,150,decay,Decay,decay opportunity voxels,opportunity_voxel_count,64773,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,150,decay,Decay,trees reaching senescence,opportunity_tree_count,444,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,150,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,150,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,150,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,650012,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,150,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,478064,All arboreal voxels.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,180,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,48750,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,positive,180,decay,Decay,decay opportunity voxels,opportunity_voxel_count,66650,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,180,decay,Decay,trees reaching senescence,opportunity_tree_count,444,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,180,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,180,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,180,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,607137,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,180,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,440356,All arboreal voxels.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,0,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,17,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,trending,0,decay,Decay,decay opportunity voxels,opportunity_voxel_count,39,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,0,decay,Decay,trees reaching senescence,opportunity_tree_count,0,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,0,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,0,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,0,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,357996,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,0,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,253862,All arboreal voxels.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,10,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,21,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,trending,10,decay,Decay,decay opportunity voxels,opportunity_voxel_count,39,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,10,decay,Decay,trees reaching senescence,opportunity_tree_count,1,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,10,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,10,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,10,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,359040,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,10,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,255285,All arboreal voxels.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,30,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,22,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,trending,30,decay,Decay,decay opportunity voxels,opportunity_voxel_count,39,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,30,decay,Decay,trees reaching senescence,opportunity_tree_count,2,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,30,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,30,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,30,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,302930,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,30,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,200127,All arboreal voxels.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,60,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,31,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,trending,60,decay,Decay,decay opportunity voxels,opportunity_voxel_count,39,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,60,decay,Decay,trees reaching senescence,opportunity_tree_count,13,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,60,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,60,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,60,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,273458,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,60,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,170432,All arboreal voxels.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,90,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,36,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,trending,90,decay,Decay,decay opportunity voxels,opportunity_voxel_count,39,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,90,decay,Decay,trees reaching senescence,opportunity_tree_count,21,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,90,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,90,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,90,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,247164,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,90,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,143724,All arboreal voxels.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,120,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,36,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,trending,120,decay,Decay,decay opportunity voxels,opportunity_voxel_count,39,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,120,decay,Decay,trees reaching senescence,opportunity_tree_count,21,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,120,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,120,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,120,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,330185,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,120,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,225681,All arboreal voxels.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,150,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,32,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,trending,150,decay,Decay,decay opportunity voxels,opportunity_voxel_count,39,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,150,decay,Decay,trees reaching senescence,opportunity_tree_count,21,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,150,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,150,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,150,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,398405,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,150,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,293778,All arboreal voxels.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,180,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,33,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,trending,180,decay,Decay,decay opportunity voxels,opportunity_voxel_count,39,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
trimmed-parade,trending,180,decay,Decay,trees reaching senescence,opportunity_tree_count,21,Number of trees reaching senescence this turn.,2026-03-29T19:58:46+11:00
