site,scenario,year,proposal_id,proposal_label,measure,metric_column,value,notes,last_updated
uni,positive,0,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,6025,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:03:13+11:00
uni,positive,0,decay,Decay,decay opportunity voxels,opportunity_voxel_count,6910,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,positive,0,decay,Decay,trees reaching senescence,opportunity_tree_count,0,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,positive,0,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,positive,0,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,positive,0,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,163829,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:03:13+11:00
uni,positive,0,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,76011,All arboreal voxels.,2026-03-29T20:03:13+11:00
uni,positive,10,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,46717,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:03:13+11:00
uni,positive,10,decay,Decay,decay opportunity voxels,opportunity_voxel_count,10136,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,positive,10,decay,Decay,trees reaching senescence,opportunity_tree_count,2,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,positive,10,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,43436,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,positive,10,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,61,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,positive,10,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,225219,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:03:13+11:00
uni,positive,10,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,124176,All arboreal voxels.,2026-03-29T20:03:13+11:00
uni,positive,30,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,94591,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:03:13+11:00
uni,positive,30,decay,Decay,decay opportunity voxels,opportunity_voxel_count,19116,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,positive,30,decay,Decay,trees reaching senescence,opportunity_tree_count,44,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,positive,30,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,42045,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,positive,30,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,61,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,positive,30,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,249652,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:03:13+11:00
uni,positive,30,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,137595,All arboreal voxels.,2026-03-29T20:03:13+11:00
uni,positive,60,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,167458,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:03:13+11:00
uni,positive,60,decay,Decay,decay opportunity voxels,opportunity_voxel_count,54343,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,positive,60,decay,Decay,trees reaching senescence,opportunity_tree_count,64,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,positive,60,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,59656,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,positive,60,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,90,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,positive,60,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,364240,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:03:13+11:00
uni,positive,60,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,194258,All arboreal voxels.,2026-03-29T20:03:13+11:00
uni,positive,90,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,166784,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:03:13+11:00
uni,positive,90,decay,Decay,decay opportunity voxels,opportunity_voxel_count,54733,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,positive,90,decay,Decay,trees reaching senescence,opportunity_tree_count,102,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,positive,90,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,59052,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,positive,90,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,90,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,positive,90,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,397375,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:03:13+11:00
uni,positive,90,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,227098,All arboreal voxels.,2026-03-29T20:03:13+11:00
uni,positive,120,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,165962,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:03:13+11:00
uni,positive,120,decay,Decay,decay opportunity voxels,opportunity_voxel_count,54736,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,positive,120,decay,Decay,trees reaching senescence,opportunity_tree_count,108,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,positive,120,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,55873,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,positive,120,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,90,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,positive,120,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,478321,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:03:13+11:00
uni,positive,120,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,307667,All arboreal voxels.,2026-03-29T20:03:13+11:00
uni,positive,150,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,200779,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:03:13+11:00
uni,positive,150,decay,Decay,decay opportunity voxels,opportunity_voxel_count,54736,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,positive,150,decay,Decay,trees reaching senescence,opportunity_tree_count,108,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,positive,150,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,54157,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,positive,150,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,90,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,positive,150,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,499845,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:03:13+11:00
uni,positive,150,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,327774,All arboreal voxels.,2026-03-29T20:03:13+11:00
uni,positive,180,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,200686,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:03:13+11:00
uni,positive,180,decay,Decay,decay opportunity voxels,opportunity_voxel_count,54736,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,positive,180,decay,Decay,trees reaching senescence,opportunity_tree_count,108,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,positive,180,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,55586,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,positive,180,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,90,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,positive,180,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,496858,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:03:13+11:00
uni,positive,180,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,325209,All arboreal voxels.,2026-03-29T20:03:13+11:00
uni,trending,0,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,126,"Voxels designated as brownRoof, greenRoof, livingFacade, footprint-depaved, node-rewilded, otherGround, rewilded.",2026-03-29T20:03:13+11:00
uni,trending,0,decay,Decay,decay opportunity voxels,opportunity_voxel_count,175,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,trending,0,decay,Decay,trees reaching senescence,opportunity_tree_count,0,Number of trees reaching senescence this turn.,2026-03-29T20:03:13+11:00
uni,trending,0,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,trending,0,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,Number of utility poles designed for artificial canopies this turn.,2026-03-29T20:03:13+11:00
uni,trending,0,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,154311,All ground_only voxels within 20m of a canopy-feature.,2026-03-29T20:03:13+11:00
uni,trending,0,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,70508,All arboreal voxels.,2026-03-29T20:03:13+11:00
