Blender 4.2.19 LTS (hash 12a2dfa84963 built 2026-03-17 01:34:28)
Read blend: "D:\2026 Arboreal Futures\urban-futures\_futureSim_refactored\blender\compositor\canonical_templates\proposal_and_interventions.blend"
Fra:1 Mem:6117.34M (Peak 6117.34M) | Time:00:01.62 | Rendering 1 / 64 samples
Fra:1 Mem:6117.34M (Peak 6117.34M) | Time:00:01.63 | Rendering 25 / 64 samples
Fra:1 Mem:6117.34M (Peak 6117.34M) | Time:00:01.69 | Rendering 50 / 64 samples
Fra:1 Mem:6117.34M (Peak 6117.34M) | Time:00:01.69 | Rendering 64 / 64 samples
Fra:1 Mem:6087.60M (Peak 6623.59M) | Time:00:02.88 | Compositing
Fra:1 Mem:6087.61M (Peak 6623.59M) | Time:00:02.89 | Compositing | Initializing execution
Fra:1 Mem:6087.67M (Peak 6623.59M) | Time:00:02.90 | Compositing | Operation 2-151
Fra:1 Mem:6087.67M (Peak 6623.59M) | Time:00:02.90 | Compositing | Operation 3-151
Fra:1 Mem:6214.30M (Peak 6623.59M) | Time:00:02.92 | Compositing | Operation 4-151
Fra:1 Mem:6214.30M (Peak 6623.59M) | Time:00:02.92 | Compositing | Operation 5-151
Fra:1 Mem:6214.30M (Peak 6623.59M) | Time:00:02.92 | Compositing | Operation 6-151
Fra:1 Mem:6340.86M (Peak 6623.59M) | Time:00:02.96 | Compositing | Operation 7-151
Fra:1 Mem:6340.86M (Peak 6623.59M) | Time:00:02.96 | Compositing | Operation 8-151
Fra:1 Mem:6340.86M (Peak 6623.59M) | Time:00:02.96 | Compositing | Operation 9-151
Fra:1 Mem:6340.86M (Peak 6623.59M) | Time:00:03.00 | Compositing | Operation 10-151
Fra:1 Mem:6340.86M (Peak 6623.59M) | Time:00:03.05 | Compositing | Operation 11-151
Fra:1 Mem:6340.86M (Peak 6623.59M) | Time:00:03.05 | Compositing | Operation 12-151
Fra:1 Mem:6340.86M (Peak 6623.59M) | Time:00:03.05 | Compositing | Operation 13-151
Fra:1 Mem:6720.55M (Peak 6847.11M) | Time:00:03.12 | Compositing | Operation 14-151
Fra:1 Mem:7226.80M (Peak 7226.80M) | Time:00:03.25 | Compositing | Operation 15-151
Fra:1 Mem:7226.80M (Peak 7226.80M) | Time:00:03.25 | Compositing | Operation 16-151
Fra:1 Mem:7226.80M (Peak 7226.80M) | Time:00:03.25 | Compositing | Operation 17-151
Fra:1 Mem:7353.36M (Peak 7353.36M) | Time:00:03.27 | Compositing | Operation 18-151
Fra:1 Mem:7353.36M (Peak 7353.36M) | Time:00:03.27 | Compositing | Operation 19-151
Fra:1 Mem:7353.36M (Peak 7353.36M) | Time:00:03.27 | Compositing | Operation 20-151
Fra:1 Mem:7353.36M (Peak 7353.36M) | Time:00:03.27 | Compositing | Operation 21-151
Fra:1 Mem:7353.36M (Peak 7353.36M) | Time:00:03.27 | Compositing | Operation 22-151
Fra:1 Mem:7353.36M (Peak 7353.36M) | Time:00:03.27 | Compositing | Operation 23-151
