Blender 4.2.19 LTS (hash 12a2dfa84963 built 2026-03-17 01:34:28)
Read blend: "D:\2026 Arboreal Futures\urban-futures\_futureSim_refactored\blender\compositor\canonical_templates\compositor_mist.blend"
Fra:1 Mem:5580.65M (Peak 5580.65M) | Time:00:00.00 | Compositing
Fra:1 Mem:5580.66M (Peak 5580.66M) | Time:00:00.00 | Compositing | Initializing execution
Fra:1 Mem:5707.34M (Peak 5707.34M) | Time:00:00.01 | Compositing | Operation 2-133
Fra:1 Mem:5833.91M (Peak 5833.91M) | Time:00:00.03 | Compositing | Operation 3-133
Fra:1 Mem:5833.91M (Peak 5960.47M) | Time:00:00.08 | Compositing | Operation 4-133
Fra:1 Mem:5833.91M (Peak 5960.47M) | Time:00:00.18 | Compositing | Operation 5-133
Fra:1 Mem:6213.59M (Peak 6340.16M) | Time:00:00.24 | Compositing | Operation 6-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.31 | Compositing | Operation 7-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.31 | Compositing | Operation 8-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.31 | Compositing | Operation 9-133
Fra:1 Mem:6213.59M (Peak 6719.84M) | Time:00:00.34 | Compositing | Operation 10-133
Fra:1 Mem:6213.59M (Peak 6719.84M) | Time:00:00.34 | Compositing | Operation 11-133
Fra:1 Mem:6213.59M (Peak 6719.84M) | Time:00:00.34 | Compositing | Operation 12-133
Fra:1 Mem:6340.16M (Peak 6719.84M) | Time:00:00.36 | Compositing | Operation 13-133
Fra:1 Mem:6340.16M (Peak 6719.84M) | Time:00:00.36 | Compositing | Operation 14-133
Fra:1 Mem:6340.16M (Peak 6719.84M) | Time:00:00.36 | Compositing | Operation 15-133
Fra:1 Mem:6466.72M (Peak 6719.84M) | Time:00:00.38 | Compositing | Operation 16-133
Fra:1 Mem:6466.72M (Peak 6719.84M) | Time:00:00.38 | Compositing | Operation 17-133
Fra:1 Mem:6466.72M (Peak 6719.84M) | Time:00:00.38 | Compositing | Operation 18-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.42 | Compositing | Operation 19-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.42 | Compositing | Operation 20-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.42 | Compositing | Operation 21-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.46 | Compositing | Operation 22-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.46 | Compositing | Operation 23-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.46 | Compositing | Operation 24-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.49 | Compositing | Operation 25-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.49 | Compositing | Operation 26-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.49 | Compositing | Operation 27-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.53 | Compositing | Operation 28-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.53 | Compositing | Operation 29-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.53 | Compositing | Operation 30-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.57 | Compositing | Operation 31-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.57 | Compositing | Operation 32-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.57 | Compositing | Operation 33-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.62 | Compositing | Operation 34-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.62 | Compositing | Operation 35-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.62 | Compositing | Operation 36-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.69 | Compositing | Operation 37-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.69 | Compositing | Operation 38-133
Fra:1 Mem:6087.03M (Peak 6719.84M) | Time:00:00.69 | Compositing | Operation 39-133
