Blender 4.2.19 LTS (hash 12a2dfa84963 built 2026-03-17 01:34:28)
Read blend: "D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\temp_blends\template_instantiations\compositor_bioenvelope__city_single-state_yr180__4.10__20260412_104824.blend"
Fra:1 Mem:16339.42M (Peak 16339.42M) | Time:00:00.00 | Compositing
Fra:1 Mem:16339.44M (Peak 16339.44M) | Time:00:00.00 | Compositing | Initializing execution
Fra:1 Mem:16339.50M (Peak 16339.50M) | Time:00:00.00 | Compositing | Operation 2-248
Fra:1 Mem:16339.50M (Peak 16339.50M) | Time:00:00.00 | Compositing | Operation 3-248
Fra:1 Mem:16592.69M (Peak 16592.69M) | Time:00:00.07 | Compositing | Operation 4-248
Fra:1 Mem:16719.25M (Peak 16719.25M) | Time:00:00.14 | Compositing | Operation 5-248
Fra:1 Mem:16845.82M (Peak 16845.82M) | Time:00:00.16 | Compositing | Operation 6-248
Fra:1 Mem:16845.82M (Peak 16972.38M) | Time:00:00.20 | Compositing | Operation 7-248
Fra:1 Mem:16845.82M (Peak 16972.38M) | Time:00:00.20 | Compositing | Operation 8-248
Fra:1 Mem:16845.82M (Peak 16972.38M) | Time:00:00.20 | Compositing | Operation 9-248
Fra:1 Mem:16972.38M (Peak 16972.38M) | Time:00:00.21 | Compositing | Operation 10-248
Fra:1 Mem:16972.38M (Peak 17098.94M) | Time:00:00.25 | Compositing | Operation 11-248
Fra:1 Mem:17352.07M (Peak 17478.63M) | Time:00:00.30 | Compositing | Operation 12-248
Fra:1 Mem:17478.63M (Peak 17478.63M) | Time:00:00.32 | Compositing | Operation 13-248
Fra:1 Mem:17605.19M (Peak 17605.19M) | Time:00:00.34 | Compositing | Operation 14-248
Fra:1 Mem:17605.19M (Peak 17605.19M) | Time:00:00.34 | Compositing | Operation 15-248
Fra:1 Mem:17731.75M (Peak 17731.75M) | Time:00:00.36 | Compositing | Operation 16-248
Fra:1 Mem:18111.44M (Peak 18238.00M) | Time:00:00.42 | Compositing | Operation 17-248
Fra:1 Mem:18238.00M (Peak 18238.00M) | Time:00:00.44 | Compositing | Operation 18-248
Fra:1 Mem:18238.00M (Peak 18238.00M) | Time:00:00.44 | Compositing | Operation 19-248
Fra:1 Mem:18238.00M (Peak 18238.00M) | Time:00:00.44 | Compositing | Operation 20-248
Fra:1 Mem:18238.00M (Peak 18238.00M) | Time:00:00.44 | Compositing | Operation 21-248
Fra:1 Mem:18238.00M (Peak 18238.00M) | Time:00:00.44 | Compositing | Operation 22-248
Fra:1 Mem:18238.00M (Peak 18238.00M) | Time:00:00.44 | Compositing | Operation 23-248
Fra:1 Mem:18238.00M (Peak 18238.00M) | Time:00:00.44 | Compositing | Operation 24-248
Fra:1 Mem:18364.57M (Peak 18364.57M) | Time:00:00.45 | Compositing | Operation 25-248
