Blender 4.2.19 LTS (hash 12a2dfa84963 built 2026-03-17 01:34:28)
Read blend: "D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\temp_blends\template_instantiations\compositor_sizes__city_single-state_yr180__4.10__20260412_104824.blend"
Fra:1 Mem:21781.35M (Peak 21781.35M) | Time:00:00.00 | Compositing
Fra:1 Mem:21781.35M (Peak 21781.35M) | Time:00:00.00 | Compositing | Initializing execution
Fra:1 Mem:21908.01M (Peak 21908.01M) | Time:00:00.02 | Compositing | Operation 2-69
Fra:1 Mem:21908.01M (Peak 22034.57M) | Time:00:00.05 | Compositing | Operation 3-69
Fra:1 Mem:22287.69M (Peak 22414.26M) | Time:00:00.11 | Compositing | Operation 4-69
Fra:1 Mem:22287.69M (Peak 22414.26M) | Time:00:00.11 | Compositing | Operation 5-69
Fra:1 Mem:22287.69M (Peak 22414.26M) | Time:00:00.11 | Compositing | Operation 6-69
Fra:1 Mem:22414.26M (Peak 22414.26M) | Time:00:00.15 | Compositing | Operation 7-69
Fra:1 Mem:22414.26M (Peak 23679.88M) | Time:00:00.70 | Compositing | Operation 8-69
Fra:1 Mem:22414.26M (Peak 23679.88M) | Time:00:00.70 | Compositing | Operation 9-69
Fra:1 Mem:22414.26M (Peak 23679.88M) | Time:00:00.70 | Compositing | Operation 10-69
Fra:1 Mem:22414.26M (Peak 23679.88M) | Time:00:00.70 | Compositing | Operation 11-69
Fra:1 Mem:22414.26M (Peak 23679.88M) | Time:00:00.70 | Compositing | Operation 12-69
Fra:1 Mem:22414.26M (Peak 23679.88M) | Time:00:00.70 | Compositing | Operation 13-69
Fra:1 Mem:22540.82M (Peak 23679.88M) | Time:00:00.73 | Compositing | Operation 14-69
Fra:1 Mem:22161.13M (Peak 23679.88M) | Time:00:00.77 | Compositing | Operation 15-69
Fra:1 Mem:22161.13M (Peak 23679.88M) | Time:00:00.77 | Compositing | Operation 16-69
Fra:1 Mem:22287.69M (Peak 23679.88M) | Time:00:00.79 | Compositing | Operation 17-69
Fra:1 Mem:22287.69M (Peak 23679.88M) | Time:00:00.79 | Compositing | Operation 18-69
Fra:1 Mem:22287.69M (Peak 23679.88M) | Time:00:00.79 | Compositing | Operation 19-69
Fra:1 Mem:22287.69M (Peak 23679.88M) | Time:00:00.79 | Compositing | Operation 20-69
Fra:1 Mem:22414.26M (Peak 23679.88M) | Time:00:00.81 | Compositing | Operation 21-69
Fra:1 Mem:22414.26M (Peak 23679.88M) | Time:00:00.84 | Compositing | Operation 22-69
Fra:1 Mem:22414.26M (Peak 23679.88M) | Time:00:00.84 | Compositing | Operation 23-69
Fra:1 Mem:22414.26M (Peak 23679.88M) | Time:00:00.88 | Compositing | Operation 24-69
Fra:1 Mem:22414.26M (Peak 23679.88M) | Time:00:00.88 | Compositing | Operation 25-69
Fra:1 Mem:22414.26M (Peak 23679.88M) | Time:00:00.88 | Compositing | Operation 26-69
Fra:1 Mem:22414.26M (Peak 23679.88M) | Time:00:00.88 | Compositing | Operation 27-69
Fra:1 Mem:22414.26M (Peak 23679.88M) | Time:00:00.88 | Compositing | Operation 28-69
Fra:1 Mem:22540.82M (Peak 23679.88M) | Time:00:00.90 | Compositing | Operation 29-69
Fra:1 Mem:22540.82M (Peak 23679.88M) | Time:00:00.93 | Compositing | Operation 30-69
Fra:1 Mem:22540.82M (Peak 23679.88M) | Time:00:00.93 | Compositing | Operation 31-69
Fra:1 Mem:22920.51M (Peak 23679.88M) | Time:00:01.00 | Compositing | Operation 32-69
Fra:1 Mem:23300.19M (Peak 23679.88M) | Time:00:01.06 | Compositing | Operation 33-69
Fra:1 Mem:23300.19M (Peak 23679.88M) | Time:00:01.06 | Compositing | Operation 34-69
Fra:1 Mem:23300.19M (Peak 23679.88M) | Time:00:01.06 | Compositing | Operation 35-69
Fra:1 Mem:23300.19M (Peak 23679.88M) | Time:00:01.06 | Compositing | Operation 36-69
Fra:1 Mem:23300.19M (Peak 23679.88M) | Time:00:01.06 | Compositing | Operation 37-69
Fra:1 Mem:23426.76M (Peak 23679.88M) | Time:00:01.08 | Compositing | Operation 38-69
Fra:1 Mem:23426.76M (Peak 23679.88M) | Time:00:01.11 | Compositing | Operation 39-69
Fra:1 Mem:23426.76M (Peak 23679.88M) | Time:00:01.11 | Compositing | Operation 40-69
Fra:1 Mem:23806.44M (Peak 23933.01M) | Time:00:01.17 | Compositing | Operation 41-69
Fra:1 Mem:23300.19M (Peak 24312.69M) | Time:00:01.28 | Compositing | Operation 42-69
Fra:1 Mem:23300.19M (Peak 24312.69M) | Time:00:01.28 | Compositing | Operation 43-69
Fra:1 Mem:23300.19M (Peak 24312.69M) | Time:00:01.28 | Compositing | Operation 44-69
Fra:1 Mem:23300.19M (Peak 24312.69M) | Time:00:01.28 | Compositing | Operation 45-69
Fra:1 Mem:23300.19M (Peak 24312.69M) | Time:00:01.28 | Compositing | Operation 46-69
Fra:1 Mem:23426.76M (Peak 24312.69M) | Time:00:01.31 | Compositing | Operation 47-69
Fra:1 Mem:23426.76M (Peak 24312.69M) | Time:00:01.34 | Compositing | Operation 48-69
Fra:1 Mem:23426.76M (Peak 24312.69M) | Time:00:01.34 | Compositing | Operation 49-69
Fra:1 Mem:23806.44M (Peak 24312.69M) | Time:00:01.40 | Compositing | Operation 50-69
Fra:1 Mem:23300.19M (Peak 24312.69M) | Time:00:01.49 | Compositing | Operation 51-69
Fra:1 Mem:23300.19M (Peak 24312.69M) | Time:00:01.49 | Compositing | Operation 52-69
Fra:1 Mem:23300.19M (Peak 24312.69M) | Time:00:01.49 | Compositing | Operation 53-69
Fra:1 Mem:23300.19M (Peak 24312.69M) | Time:00:01.52 | Compositing | Operation 54-69
Fra:1 Mem:23300.19M (Peak 24312.69M) | Time:00:01.54 | Compositing | Operation 55-69
Fra:1 Mem:23300.19M (Peak 24312.69M) | Time:00:01.54 | Compositing | Operation 56-69
Fra:1 Mem:23679.88M (Peak 24312.69M) | Time:00:01.61 | Compositing | Operation 57-69
Fra:1 Mem:23173.63M (Peak 24312.69M) | Time:00:01.69 | Compositing | Operation 58-69
Fra:1 Mem:23173.63M (Peak 24312.69M) | Time:00:01.69 | Compositing | Operation 59-69
Fra:1 Mem:23047.07M (Peak 24312.69M) | Time:00:01.73 | Compositing | Operation 60-69
Fra:1 Mem:23047.07M (Peak 24312.69M) | Time:00:01.73 | Compositing | Operation 61-69
Fra:1 Mem:23426.76M (Peak 24312.69M) | Time:00:01.82 | Compositing | Operation 62-69
Fra:1 Mem:22920.51M (Peak 24312.69M) | Time:00:01.94 | Compositing | Operation 63-69
Fra:1 Mem:22920.51M (Peak 24312.69M) | Time:00:01.94 | Compositing | Operation 64-69
Fra:1 Mem:23300.19M (Peak 24312.69M) | Time:00:02.01 | Compositing | Operation 65-69
Fra:1 Mem:22793.94M (Peak 24312.69M) | Time:00:02.14 | Compositing | Operation 66-69
