Blender 4.2.19 LTS (hash 12a2dfa84963 built 2026-03-17 01:34:28)
Read blend: "D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\temp_blends\template_instantiations\compositor_mist__city_single-state_yr180__4.10__20260412_114600.blend"
Fra:1 Mem:5454.02M (Peak 5454.02M) | Time:00:00.00 | Compositing
Fra:1 Mem:5454.02M (Peak 5454.02M) | Time:00:00.00 | Compositing | Initializing execution
Fra:1 Mem:5580.71M (Peak 5580.71M) | Time:00:00.02 | Compositing | Operation 2-139
Fra:1 Mem:5707.27M (Peak 5707.27M) | Time:00:00.04 | Compositing | Operation 3-139
Fra:1 Mem:5707.27M (Peak 5833.83M) | Time:00:00.14 | Compositing | Operation 4-139
Fra:1 Mem:5707.27M (Peak 5833.83M) | Time:00:00.21 | Compositing | Operation 5-139
Fra:1 Mem:6086.96M (Peak 6213.52M) | Time:00:00.28 | Compositing | Operation 6-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.37 | Compositing | Operation 7-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.37 | Compositing | Operation 8-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.37 | Compositing | Operation 9-139
Fra:1 Mem:6086.96M (Peak 6593.21M) | Time:00:00.40 | Compositing | Operation 10-139
Fra:1 Mem:6086.96M (Peak 6593.21M) | Time:00:00.40 | Compositing | Operation 11-139
Fra:1 Mem:6086.96M (Peak 6593.21M) | Time:00:00.40 | Compositing | Operation 12-139
Fra:1 Mem:6213.52M (Peak 6593.21M) | Time:00:00.42 | Compositing | Operation 13-139
Fra:1 Mem:6213.52M (Peak 6593.21M) | Time:00:00.42 | Compositing | Operation 14-139
Fra:1 Mem:6213.52M (Peak 6593.21M) | Time:00:00.42 | Compositing | Operation 15-139
Fra:1 Mem:6340.08M (Peak 6593.21M) | Time:00:00.45 | Compositing | Operation 16-139
Fra:1 Mem:6340.08M (Peak 6593.21M) | Time:00:00.45 | Compositing | Operation 17-139
Fra:1 Mem:6340.08M (Peak 6593.21M) | Time:00:00.45 | Compositing | Operation 18-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.49 | Compositing | Operation 19-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.49 | Compositing | Operation 20-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.49 | Compositing | Operation 21-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.53 | Compositing | Operation 22-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.53 | Compositing | Operation 23-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.53 | Compositing | Operation 24-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.56 | Compositing | Operation 25-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.56 | Compositing | Operation 26-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.56 | Compositing | Operation 27-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.59 | Compositing | Operation 28-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.59 | Compositing | Operation 29-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.59 | Compositing | Operation 30-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.63 | Compositing | Operation 31-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.63 | Compositing | Operation 32-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.63 | Compositing | Operation 33-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.69 | Compositing | Operation 34-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.69 | Compositing | Operation 35-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.69 | Compositing | Operation 36-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.75 | Compositing | Operation 37-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.75 | Compositing | Operation 38-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.75 | Compositing | Operation 39-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.81 | Compositing | Operation 40-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.81 | Compositing | Operation 41-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.81 | Compositing | Operation 42-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.87 | Compositing | Operation 43-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.90 | Compositing | Operation 44-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.94 | Compositing | Operation 45-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:00.97 | Compositing | Operation 46-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:01.01 | Compositing | Operation 47-139
Fra:1 Mem:5960.39M (Peak 6593.21M) | Time:00:01.12 | Compositing | Operation 48-139
Fra:1 Mem:6086.96M (Peak 6593.21M) | Time:00:01.15 | Compositing | Operation 49-139
Fra:1 Mem:6086.96M (Peak 6593.21M) | Time:00:01.15 | Compositing | Operation 50-139
Fra:1 Mem:6466.64M (Peak 6593.21M) | Time:00:01.22 | Compositing | Operation 51-139
Fra:1 Mem:6972.89M (Peak 6972.89M) | Time:00:01.33 | Compositing | Operation 52-139
Fra:1 Mem:6593.21M (Peak 7099.46M) | Time:00:01.37 | Compositing | Operation 53-139
Fra:1 Mem:6593.21M (Peak 7099.46M) | Time:00:01.37 | Compositing | Operation 54-139
Fra:1 Mem:6593.21M (Peak 7099.46M) | Time:00:01.37 | Compositing | Operation 55-139
Fra:1 Mem:6593.21M (Peak 7099.46M) | Time:00:01.43 | Compositing | Operation 56-139
Fra:1 Mem:6593.21M (Peak 7099.46M) | Time:00:01.46 | Compositing | Operation 57-139
Fra:1 Mem:6593.21M (Peak 7099.46M) | Time:00:01.53 | Compositing | Operation 58-139
Fra:1 Mem:7099.46M (Peak 7099.46M) | Time:00:01.60 | Compositing | Operation 59-139
Fra:1 Mem:7479.14M (Peak 7605.71M) | Time:00:01.67 | Compositing | Operation 60-139
Fra:1 Mem:7099.46M (Peak 7605.71M) | Time:00:01.70 | Compositing | Operation 61-139
Fra:1 Mem:6719.77M (Peak 7605.71M) | Time:00:01.74 | Compositing | Operation 62-139
Fra:1 Mem:6719.77M (Peak 7605.71M) | Time:00:01.74 | Compositing | Operation 63-139
Fra:1 Mem:6719.77M (Peak 7605.71M) | Time:00:01.88 | Compositing | Operation 64-139
Fra:1 Mem:6719.77M (Peak 7605.71M) | Time:00:02.03 | Compositing | Operation 65-139
