Blender 4.2.19 LTS (hash 12a2dfa84963 built 2026-03-17 01:34:28)
Read blend: "D:\2026 Arboreal Futures\urban-futures\_data-refactored\compositor\temp_blends\template_instantiations\compositor_sizes__city_baseline_2input__20260411_1621.blend"
Fra:1 Mem:21781.35M (Peak 21781.35M) | Time:00:00.00 | Compositing
Fra:1 Mem:21781.36M (Peak 21781.36M) | Time:00:00.00 | Compositing | Initializing execution
Fra:1 Mem:21908.02M (Peak 21908.02M) | Time:00:00.02 | Compositing | Operation 2-76
Fra:1 Mem:22034.58M (Peak 22034.58M) | Time:00:00.05 | Compositing | Operation 3-76
Fra:1 Mem:22034.58M (Peak 22161.14M) | Time:00:00.08 | Compositing | Operation 4-76
Fra:1 Mem:22034.58M (Peak 22161.14M) | Time:00:00.14 | Compositing | Operation 5-76
Fra:1 Mem:22414.27M (Peak 22540.83M) | Time:00:00.22 | Compositing | Operation 6-76
Fra:1 Mem:22793.95M (Peak 22920.52M) | Time:00:00.32 | Compositing | Operation 7-76
Fra:1 Mem:22793.95M (Peak 24059.58M) | Time:00:00.85 | Compositing | Operation 8-76
Fra:1 Mem:22793.95M (Peak 24059.58M) | Time:00:01.41 | Compositing | Operation 9-76
Fra:1 Mem:22793.95M (Peak 24059.58M) | Time:00:01.41 | Compositing | Operation 10-76
Fra:1 Mem:22793.95M (Peak 24059.58M) | Time:00:01.41 | Compositing | Operation 11-76
Fra:1 Mem:22920.52M (Peak 24059.58M) | Time:00:01.43 | Compositing | Operation 12-76
Fra:1 Mem:22920.52M (Peak 24059.58M) | Time:00:01.43 | Compositing | Operation 13-76
Fra:1 Mem:22540.83M (Peak 24059.58M) | Time:00:01.47 | Compositing | Operation 14-76
Fra:1 Mem:22161.14M (Peak 24059.58M) | Time:00:01.51 | Compositing | Operation 15-76
Fra:1 Mem:22161.14M (Peak 24059.58M) | Time:00:01.51 | Compositing | Operation 16-76
Fra:1 Mem:22161.14M (Peak 24059.58M) | Time:00:01.51 | Compositing | Operation 17-76
Fra:1 Mem:22161.14M (Peak 24059.58M) | Time:00:01.51 | Compositing | Operation 18-76
Fra:1 Mem:22161.14M (Peak 24059.58M) | Time:00:01.51 | Compositing | Operation 19-76
Fra:1 Mem:22161.14M (Peak 24059.58M) | Time:00:01.51 | Compositing | Operation 20-76
Fra:1 Mem:22287.70M (Peak 24059.58M) | Time:00:01.53 | Compositing | Operation 21-76
Fra:1 Mem:22161.14M (Peak 24059.58M) | Time:00:01.57 | Compositing | Operation 22-76
Fra:1 Mem:22161.14M (Peak 24059.58M) | Time:00:01.57 | Compositing | Operation 23-76
Fra:1 Mem:22287.70M (Peak 24059.58M) | Time:00:01.60 | Compositing | Operation 24-76
Fra:1 Mem:22287.70M (Peak 24059.58M) | Time:00:01.60 | Compositing | Operation 25-76
Fra:1 Mem:22287.70M (Peak 24059.58M) | Time:00:01.60 | Compositing | Operation 26-76
Fra:1 Mem:22287.70M (Peak 24059.58M) | Time:00:01.60 | Compositing | Operation 27-76
Fra:1 Mem:22414.27M (Peak 24059.58M) | Time:00:01.62 | Compositing | Operation 28-76
Fra:1 Mem:22414.27M (Peak 24059.58M) | Time:00:01.65 | Compositing | Operation 29-76
Fra:1 Mem:22414.27M (Peak 24059.58M) | Time:00:01.65 | Compositing | Operation 30-76
Fra:1 Mem:22414.27M (Peak 24059.58M) | Time:00:01.69 | Compositing | Operation 31-76
Fra:1 Mem:22414.27M (Peak 24059.58M) | Time:00:01.69 | Compositing | Operation 32-76
Fra:1 Mem:22414.27M (Peak 24059.58M) | Time:00:01.69 | Compositing | Operation 33-76
Fra:1 Mem:22414.27M (Peak 24059.58M) | Time:00:01.69 | Compositing | Operation 34-76
Fra:1 Mem:22414.27M (Peak 24059.58M) | Time:00:01.69 | Compositing | Operation 35-76
Fra:1 Mem:22540.83M (Peak 24059.58M) | Time:00:01.71 | Compositing | Operation 36-76
