site,year,proposal_id,proposal_label,intervention,support,measure,metric_column,positive_value,trending_value,delta_trending_minus_positive,trending_pct_of_positive,positive_multiple_of_trending
city,0,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,0.0,0.0,0.0,,
city,0,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,21598.0,920.0,-20678.0,4.259654,23.476087
city,0,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,0.0,0.0,0.0,,
city,0,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,0.0,0.0,0.0,,
city,0,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,0.0,0.0,0.0,,
city,0,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,24062.0,1160.0,-22902.0,4.820879,20.743103
city,0,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,0.0,0.0,0.0,,
city,0,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,0.0,0.0,0.0,,
city,0,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,0.0,0.0,0.0,,
city,0,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,1080.0,269.0,-811.0,24.907407,4.01487
city,0,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,15274.0,1150.0,-14124.0,7.529134,13.281739
city,0,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,26.0,30.0,4.0,115.384615,0.866667
city,0,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,99.0,5434.0,5335.0,5488.888889,0.018219
city,0,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,11111.0,2231.0,-8880.0,20.079201,4.980278
city,10,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,241.0,,,,
