site,year,proposal_id,proposal_label,measure,metric_column,positive_value,trending_value,delta_trending_minus_positive,trending_pct_of_positive,positive_multiple_of_trending
city,0,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,21598,920,-20678,4.259654,23.476087
city,0,decay,Decay,decay opportunity voxels,opportunity_voxel_count,24089,1191,-22898,4.944165,20.225861
city,0,decay,Decay,trees reaching senescence,opportunity_tree_count,0,0,0,,
city,0,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,0,0,,
city,0,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,0,0,,
city,0,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,259199,244296,-14903,94.250364,1.061004
city,0,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,130011,123223,-6788,94.778903,1.055087
city,10,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,58477,1242,-57235,2.123912,47.082931
city,10,decay,Decay,decay opportunity voxels,opportunity_voxel_count,25517,1680,-23837,6.583846,15.18869
city,10,decay,Decay,trees reaching senescence,opportunity_tree_count,5,1,-4,20.0,5.0
city,10,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,0,0,,
city,10,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,0,0,,
city,10,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,297971,244038,-53933,81.899916,1.221002
city,10,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,134747,122633,-12114,91.009818,1.098783
city,30,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,127615,1896,-125719,1.485719,67.307489
city,30,decay,Decay,decay opportunity voxels,opportunity_voxel_count,32823,2323,-30500,7.077354,14.129574
city,30,decay,Decay,trees reaching senescence,opportunity_tree_count,53,5,-48,9.433962,10.6
city,30,deploy_structure,Deploy-Structure,artificial canopy voxels,opportunity_voxel_count,0,0,0,,
city,30,deploy_structure,Deploy-Structure,utility poles,opportunity_tree_count,0,0,0,,
city,30,recruit,Recruit,recruitable ground voxels,opportunity_voxel_count,331358,226439,-104919,68.336663,1.463343
city,30,release_control,Release-Control,arboreal voxels,opportunity_voxel_count,156726,102148,-54578,65.176167,1.534303
city,60,colonise,Colonise,colonisable surface voxels,opportunity_voxel_count,245095,5470,-239625,2.231788,44.80713
city,60,decay,Decay,decay opportunity voxels,opportunity_voxel_count,46286,3227,-43059,6.971871,14.343353
city,60,decay,Decay,trees reaching senescence,opportunity_tree_count,144,69,-75,47.916667,2.086957
