highlight_type,site,year,proposal_id,proposal_label,intervention,support,measure,metric_column,positive_value,trending_value,delta_trending_minus_positive,trending_pct_of_positive,positive_multiple_of_trending
positive_dominates,city,10,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,10321.0,0.0,-10321.0,0.0,
positive_dominates,city,10,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,23404.0,0.0,-23404.0,0.0,
positive_dominates,city,10,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,4.0,0.0,-4.0,0.0,
positive_dominates,trimmed-parade,0,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,14990.0,0.0,-14990.0,0.0,
positive_dominates,trimmed-parade,0,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,13419.0,0.0,-13419.0,0.0,
positive_dominates,trimmed-parade,0,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,19597.0,0.0,-19597.0,0.0,
positive_dominates,trimmed-parade,10,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,428.0,0.0,-428.0,0.0,
positive_dominates,trimmed-parade,10,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,4.0,0.0,-4.0,0.0,
positive_dominates,trimmed-parade,10,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,10716.0,0.0,-10716.0,0.0,
positive_dominates,trimmed-parade,10,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,8.0,0.0,-8.0,0.0,
positive_dominates,trimmed-parade,10,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,8950.0,0.0,-8950.0,0.0,
positive_dominates,trimmed-parade,10,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,21319.0,0.0,-21319.0,0.0,
positive_dominates,trimmed-parade,30,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,4847.0,0.0,-4847.0,0.0,
positive_dominates,trimmed-parade,30,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,37.0,0.0,-37.0,0.0,
positive_dominates,trimmed-parade,30,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,12189.0,0.0,-12189.0,0.0,
trending_dominates,trimmed-parade,180,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,17795.0,191004.0,173209.0,1073.357685,0.093166
trending_dominates,trimmed-parade,150,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,12211.0,185375.0,173164.0,1518.098436,0.065872
trending_dominates,trimmed-parade,10,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,7082.0,146653.0,139571.0,2070.785089,0.048291
trending_dominates,trimmed-parade,0,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,654.0,139285.0,138631.0,21297.400612,0.004695
trending_dominates,trimmed-parade,120,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,12875.0,121568.0,108693.0,944.217476,0.105908
trending_dominates,trimmed-parade,90,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,24316.0,58138.0,33822.0,239.093601,0.418246
trending_dominates,trimmed-parade,60,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,127192.0,144899.0,17707.0,113.921473,0.877798
trending_dominates,city,150,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,6576.0,14554.0,7978.0,221.319951,0.451835
trending_dominates,city,180,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,6150.0,12135.0,5985.0,197.317073,0.506799
trending_dominates,city,120,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,5687.0,11272.0,5585.0,198.206436,0.504524
trending_dominates,city,0,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,99.0,5434.0,5335.0,5488.888889,0.018219
trending_dominates,city,10,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,1349.0,5351.0,4002.0,396.664196,0.252102
trending_dominates,city,10,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,11.0,163.0,152.0,1481.818182,0.067485
trending_dominates,city,90,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,4503.0,4606.0,103.0,102.287364,0.977638
trending_dominates,uni,10,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,34.0,57.0,23.0,167.647059,0.596491
