site,scenario,year,proposal_id,proposal_label,intervention,support,measure,metric_column,value,notes,last_updated
trimmed-parade,positive,0,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,0,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,0,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,0,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,12689,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,positive,0,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,0,Brown roof and living facade roughening counted together.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,0,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,0,Ageing feature retained in place without collapse zone.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,0,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,0,Ageing feature retained in place without collapse zone.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,0,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,14990,Ageing feature can senesce and collapse in place.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,0,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,0,Ageing feature can senesce and collapse in place.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,0,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,0,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,0,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,1589,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,0,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,13419,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,0,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,15,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,0,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,654,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,0,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,19597,Assumes pruning withdrawn from canopy.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,10,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,10,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,0,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,10,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,8901,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,positive,10,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,0,Brown roof and living facade roughening counted together.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,10,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,428,Ageing feature retained in place without collapse zone.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,10,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,4,Ageing feature retained in place without collapse zone.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,10,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,10716,Ageing feature can senesce and collapse in place.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,10,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,8,Ageing feature can senesce and collapse in place.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,10,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,10,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,10,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,2290,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,10,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,8950,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,10,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,18,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,10,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,7082,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,10,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,21319,Assumes pruning withdrawn from canopy.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,30,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,30,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,0,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,30,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,37878,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,positive,30,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,0,Brown roof and living facade roughening counted together.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,30,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,4847,Ageing feature retained in place without collapse zone.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,30,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,37,Ageing feature retained in place without collapse zone.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,30,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,12189,Ageing feature can senesce and collapse in place.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,30,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,55,Ageing feature can senesce and collapse in place.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,30,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,30,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,30,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,14260,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,30,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,12186,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,30,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,31300,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,30,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,170756,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,30,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,96289,Assumes pruning withdrawn from canopy.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,60,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,60,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,0,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,60,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,44163,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,positive,60,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,0,Brown roof and living facade roughening counted together.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,60,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,6375,Ageing feature retained in place without collapse zone.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,60,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,46,Ageing feature retained in place without collapse zone.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,60,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,8387,Ageing feature can senesce and collapse in place.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,60,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,152,Ageing feature can senesce and collapse in place.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,60,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,60,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,60,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,22090,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,60,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,8381,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,60,recruit,Recruit,Rewild-Ground,full,recruit grassland voxels,supported_voxel_count,42036,Recruit grassland in otherGround or rewilded bioEnvelope states.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,60,release_control,Release-Control,Brace-Feature,partial,arboreal voxels,supported_voxel_count,127192,Assumes intermediate pruning withdrawn from canopy.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,60,release_control,Release-Control,Buffer-Feature,full,arboreal voxels,supported_voxel_count,188725,Assumes pruning withdrawn from canopy.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,90,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,90,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,0,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,90,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,44723,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T19:58:46+11:00
trimmed-parade,positive,90,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,0,Brown roof and living facade roughening counted together.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,90,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,6937,Ageing feature retained in place without collapse zone.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,90,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,55,Ageing feature retained in place without collapse zone.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,90,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,14853,Ageing feature can senesce and collapse in place.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,90,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,336,Ageing feature can senesce and collapse in place.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,90,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,90,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,90,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,29215,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T19:58:46+11:00
trimmed-parade,positive,90,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,14847,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T19:58:46+11:00
