site,scenario,year,proposal_id,proposal_label,intervention,support,measure,metric_column,value,notes,last_updated
uni,positive,0,colonise,Colonise,Enrich-Envelope,full,enabled rooftop logs,supported_tree_count,,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:03:13+11:00
uni,positive,0,colonise,Colonise,Enrich-Envelope,full,green roof voxels,supported_voxel_count,0,Green roof envelope counted here; rooftop logs are measured from logDF and still need a dedicated field for explicit Blender highlighting.,2026-03-29T20:03:13+11:00
uni,positive,0,colonise,Colonise,Rewild-Ground,mixed,rewilded ground voxels,supported_voxel_count,6025,"Rewilded ground grouped from node-rewilded, footprint-depaved, and rewilded.",2026-03-29T20:03:13+11:00
uni,positive,0,colonise,Colonise,Roughen-Envelope,partial,roughened envelope voxels,supported_voxel_count,0,Brown roof and living facade roughening counted together.,2026-03-29T20:03:13+11:00
uni,positive,0,decay,Decay,Brace-Feature,partial,brace-feature voxels,supported_voxel_count,0,Ageing feature retained in place without collapse zone.,2026-03-29T20:03:13+11:00
uni,positive,0,decay,Decay,Brace-Feature,partial,senescing trees,supported_tree_count,0,Ageing feature retained in place without collapse zone.,2026-03-29T20:03:13+11:00
uni,positive,0,decay,Decay,Buffer-Feature,full,buffer-feature voxels,supported_voxel_count,6872,Ageing feature can senesce and collapse in place.,2026-03-29T20:03:13+11:00
uni,positive,0,decay,Decay,Buffer-Feature,full,senescing trees,supported_tree_count,0,Ageing feature can senesce and collapse in place.,2026-03-29T20:03:13+11:00
uni,positive,0,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,artificial canopy voxels,supported_voxel_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T20:03:13+11:00
uni,positive,0,deploy_structure,Deploy-Structure,Adapt-Utility-Pole,full,utility poles,supported_tree_count,0,Measured from enabled artificial poles in poleDF.,2026-03-29T20:03:13+11:00
uni,positive,0,deploy_structure,Deploy-Structure,Upgrade-Feature,full,upgraded-feature voxels,supported_voxel_count,383,Assumes all peeling bark in elms is artificial bark installation; currently does not track artificial hollows in upgraded canopies.,2026-03-29T20:03:13+11:00
uni,positive,0,recruit,Recruit,Buffer-Feature,partial,recruit grassland voxels,supported_voxel_count,6809,Recruit grassland in node-rewilded or footprint-depaved bioEnvelope states.,2026-03-29T20:03:13+11:00
