site,persona,capability,label,old_summary,old_ratio,old_left_pct,old_right_pct,new_summary,new_ratio,new_positive_pct,new_trending_pct,new_positive_value,new_trending_value,new_baseline_value,old_direction_sign,new_direction_sign,same_direction,ratio_change_factor
Parade,Bird,Acquire Resources,Peeling bark volume,3.28x peeling bark volume (65.2% vs 19.9%),3.28,65.2,19.9,5.41x peeling bark volume (45.6% vs 8.4%),5.41,45.6,8.4,36420,6736,79794,1,1,yes,1.648405
Parade,Bird,Communicate,Perchable canopy volume,1.48x perchable canopy volume (61.0% vs 41.1%),1.48,61.0,41.1,1.23x perchable canopy volume (25.9% vs 21.0%),1.23,25.9,21.0,165436,134216,637853,1,1,yes,0.832845
Parade,Bird,Reproduce,Hollow count,11.27x hollow count (92.5% vs 8.2%),11.27,92.5,8.2,135.11x hollow count (57.6% vs 0.4%),135.11,57.6,0.4,1216,9,2110,1,1,yes,11.988564
Parade,Lizard,Acquire Resources,Combined ground-cover/dead branch/epiphyte indicators,8.06x combined ground-cover/dead branch/epiphyte indicators (72.9% vs 9.0%),8.06,72.9,9.0,48.07x combined ground-cover/dead branch/epiphyte indicators (145.5% vs 3.0%),48.07,145.5,3.0,569242,11841,391198,1,1,yes,5.964493
Parade,Lizard,Communicate,Non-paved surface area,1.59x non-paved surface area (81.7% vs 51.4%),1.59,81.7,51.4,4.10x non-paved surface area (210.4% vs 51.4%),4.10,210.4,51.4,341051,83259,162071,1,1,yes,2.576268
Parade,Lizard,Reproduce,Combined nurse-log/fallen-tree indicators,439.14x combined nurse-log/fallen-tree indicators (27.5% vs 0.1%),439.14,27.5,0.1,∞x combined nurse-log/fallen-tree indicators (71.1% vs 0.0%),inf,71.1,0.0,131595,0,185195,1,1,yes,inf
Parade,Tree,Acquire Resources,Senescent biovolume,555.00x senescent biovolume (55.5% vs 0.1%),555.00,55.5,0.1,∞x senescent biovolume (97.1% vs 0.0%),inf,97.1,0.0,101399,0,104472,1,1,yes,inf
Parade,Tree,Communicate,Soil near canopy features,1.83x soil near canopy features (81.3% vs 44.4%),1.83,81.3,44.4,3.68x soil near canopy features (162.1% vs 44.1%),3.68,162.1,44.1,262688,71438,162071,1,1,yes,2.009370
Parade,Tree,Reproduce,Grassland-for-recruitment indicator,710.56x grassland-for-recruitment indicator (59.6% vs 0.1%),710.56,59.6,0.1,7006.24x grassland-for-recruitment indicator (159.9% vs 0.0%),7006.24,159.9,0.0,259231,37,162071,1,1,yes,9.860171
Street,Bird,Acquire Resources,Peeling bark volume,5.22x peeling bark volume (33.9% vs 6.5%),5.22,33.9,6.5,10.31x peeling bark volume (31.8% vs 3.1%),10.31,31.8,3.1,25013,2426,78666,1,1,yes,1.975170
Street,Bird,Communicate,Perchable canopy volume,2.39x perchable canopy volume (37.9% vs 15.8%),2.39,37.9,15.8,3.02x perchable canopy volume (34.4% vs 11.4%),3.02,34.4,11.4,219684,72710,638210,1,1,yes,1.264173
Street,Bird,Reproduce,Hollow count,5.84x hollow count (43.1% vs 7.4%),5.84,43.1,7.4,15.84x hollow count (55.5% vs 3.5%),15.84,55.5,3.5,1172,74,2110,1,1,yes,2.711959
Street,Lizard,Acquire Resources,Combined ground-cover/dead branch/epiphyte indicators,14.28x combined ground-cover/dead branch/epiphyte indicators (88.2% vs 6.2%),14.28,88.2,6.2,1.29x combined ground-cover/dead branch/epiphyte indicators (162.3% vs 126.2%),1.29,162.3,126.2,640727,498119,394814,1,1,yes,0.090077
Street,Lizard,Communicate,Non-paved surface area,3.64x non-paved surface area (153.0% vs 42.1%),3.64,153.0,42.1,1.08x non-paved surface area (298.5% vs 277.5%),1.08,298.5,277.5,503058,467809,168550,1,1,yes,0.295426
Street,Lizard,Reproduce,Combined nurse-log/fallen-tree indicators,15.00x combined nurse-log/fallen-tree indicators (11.4% vs 0.8%),15.00,11.4,0.8,10.03x combined nurse-log/fallen-tree indicators (23.5% vs 2.3%),10.03,23.5,2.3,43776,4365,186163,1,1,yes,0.668591
Street,Tree,Acquire Resources,Senescent biovolume,5.63x senescent biovolume (12.5% vs 2.2%),5.63,12.5,2.2,∞x senescent biovolume (24.9% vs 0.0%),inf,24.9,0.0,25291,0,101537,1,1,yes,inf
Street,Tree,Communicate,Soil near canopy features,3.61x soil near canopy features (62.5% vs 17.3%),3.61,62.5,17.3,1.71x soil near canopy features (119.9% vs 69.9%),1.71,119.9,69.9,202105,117894,168550,1,1,yes,0.474874
Street,Tree,Reproduce,Grassland-for-recruitment indicator,12.60x grassland-for-recruitment indicator (44.0% vs 3.5%),12.60,44.0,3.5,2.21x grassland-for-recruitment indicator (122.2% vs 55.3%),2.21,122.2,55.3,205969,93243,168550,1,1,yes,0.175313
City,Bird,Acquire Resources,Peeling bark volume,2.11x peeling bark volume (34.5% vs 16.4%),2.11,34.5,16.4,8.57x peeling bark volume (22.1% vs 2.6%),8.57,22.1,2.6,17753,2071,80420,1,1,yes,4.062648
City,Bird,Communicate,Perchable canopy volume,1.47x perchable canopy volume (38.7% vs 26.3%),1.47,38.7,26.3,3.55x perchable canopy volume (21.6% vs 6.1%),3.55,21.6,6.1,139869,39367,648409,1,1,yes,2.416973
City,Bird,Reproduce,Hollow count,2.71x hollow count (54.5% vs 20.1%),2.71,54.5,20.1,9.05x hollow count (31.8% vs 3.5%),9.05,31.8,3.5,670,74,2110,1,1,yes,3.340979
City,Lizard,Acquire Resources,Combined ground-cover/dead branch/epiphyte indicators,4.95x combined ground-cover/dead branch/epiphyte indicators (97.9% vs 19.8%),4.95,97.9,19.8,1.20x combined ground-cover/dead branch/epiphyte indicators (236.7% vs 196.6%),1.20,236.7,196.6,954308,792569,403181,1,1,yes,0.243246
City,Lizard,Communicate,Non-paved surface area,6.72x non-paved surface area (165.0% vs 24.5%),6.72,165.0,24.5,1.09x non-paved surface area (471.4% vs 434.5%),1.09,471.4,434.5,814853,751011,172863,1,1,yes,0.161460
City,Lizard,Reproduce,Combined nurse-log/fallen-tree indicators,5.01x combined nurse-log/fallen-tree indicators (27.2% vs 5.4%),5.01,27.2,5.4,4.41x combined nurse-log/fallen-tree indicators (50.5% vs 11.5%),4.41,50.5,11.5,93385,21191,184853,1,1,yes,0.879606
City,Tree,Acquire Resources,Senescent biovolume,2.89x senescent biovolume (21.9% vs 7.6%),2.89,21.9,7.6,59.06x senescent biovolume (27.0% vs 0.5%),59.06,27.0,0.5,28172,477,104267,1,1,yes,20.436262
City,Tree,Communicate,Soil near canopy features,4.10x soil near canopy features (45.1% vs 11.0%),4.10,45.1,11.0,1.35x soil near canopy features (143.7% vs 106.3%),1.35,143.7,106.3,248433,183813,172863,1,1,yes,0.329647
City,Tree,Reproduce,Grassland-for-recruitment indicator,6.43x grassland-for-recruitment indicator (51.7% vs 8.0%),6.43,51.7,8.0,1.64x grassland-for-recruitment indicator (152.2% vs 92.7%),1.64,152.2,92.7,263082,160262,172863,1,1,yes,0.255299
