site,persona,capability,label,old_summary,old_ratio,old_left_pct,old_right_pct,new_summary,new_ratio,new_positive_pct,new_trending_pct,new_positive_value,new_trending_value,new_baseline_value,old_direction_sign,new_direction_sign,same_direction,ratio_change_factor
Parade,Bird,Acquire Resources,Peeling bark volume,3.28x peeling bark volume (65.2% vs 19.9%),3.28,65.2,19.9,5.53x peeling bark volume (45.9% vs 8.3%),5.53,45.9,8.3,38096,6886,83084,1,1,yes,1.686703
Parade,Bird,Communicate,Perchable canopy volume,1.48x perchable canopy volume (61.0% vs 41.1%),1.48,61.0,41.1,1.40x perchable canopy volume (27.7% vs 19.8%),1.40,27.7,19.8,188925,135139,682668,1,1,yes,0.944598
Parade,Bird,Reproduce,Hollow count,11.27x hollow count (92.5% vs 8.2%),11.27,92.5,8.2,104.44x hollow count (52.5% vs 0.5%),104.44,52.5,0.5,940,9,1790,1,1,yes,9.267475
Parade,Lizard,Acquire Resources,Combined ground-cover/dead branch/epiphyte indicators,8.06x combined ground-cover/dead branch/epiphyte indicators (72.9% vs 9.0%),8.06,72.9,9.0,32.07x combined ground-cover/dead branch/epiphyte indicators (96.8% vs 3.0%),32.07,96.8,3.0,386808,12061,399453,1,1,yes,3.979029
Parade,Lizard,Communicate,Non-paved surface area,1.59x non-paved surface area (81.7% vs 51.4%),1.59,81.7,51.4,2.90x non-paved surface area (148.9% vs 51.4%),2.90,148.9,51.4,241360,83259,162071,1,1,yes,1.823211
Parade,Lizard,Reproduce,Combined nurse-log/fallen-tree indicators,439.14x combined nurse-log/fallen-tree indicators (27.5% vs 0.1%),439.14,27.5,0.1,∞x combined nurse-log/fallen-tree indicators (15.3% vs 0.0%),inf,15.3,0.0,24180,0,157947,1,1,yes,inf
Parade,Tree,Acquire Resources,Senescent biovolume,555.00x senescent biovolume (55.5% vs 0.1%),555.00,55.5,0.1,∞x senescent biovolume (97.9% vs 0.0%),inf,97.9,0.0,102828,0,104998,1,1,yes,inf
Parade,Tree,Communicate,Soil near canopy features,1.83x soil near canopy features (81.3% vs 44.4%),1.83,81.3,44.4,2.29x soil near canopy features (100.6% vs 43.9%),2.29,100.6,43.9,162995,71200,162071,1,1,yes,1.250959
Parade,Tree,Reproduce,Grassland-for-recruitment indicator,710.56x grassland-for-recruitment indicator (59.6% vs 0.1%),710.56,59.6,0.1,4142.51x grassland-for-recruitment indicator (94.6% vs 0.0%),4142.51,94.6,0.0,153273,37,162071,1,1,yes,5.829928
Street,Bird,Acquire Resources,Peeling bark volume,5.22x peeling bark volume (33.9% vs 6.5%),5.22,33.9,6.5,11.41x peeling bark volume (35.1% vs 3.1%),11.41,35.1,3.1,28624,2509,81485,1,1,yes,2.185542
Street,Bird,Communicate,Perchable canopy volume,2.39x perchable canopy volume (37.9% vs 15.8%),2.39,37.9,15.8,3.35x perchable canopy volume (36.4% vs 10.8%),3.35,36.4,10.8,243761,72716,670369,1,1,yes,1.402608
Street,Bird,Reproduce,Hollow count,5.84x hollow count (43.1% vs 7.4%),5.84,43.1,7.4,11.84x hollow count (45.0% vs 3.8%),11.84,45.0,3.8,805,68,1790,1,1,yes,2.027095
Street,Lizard,Acquire Resources,Combined ground-cover/dead branch/epiphyte indicators,14.28x combined ground-cover/dead branch/epiphyte indicators (88.2% vs 6.2%),14.28,88.2,6.2,1.26x combined ground-cover/dead branch/epiphyte indicators (155.1% vs 123.1%),1.26,155.1,123.1,620107,492360,399911,1,1,yes,0.088197
Street,Lizard,Communicate,Non-paved surface area,3.64x non-paved surface area (153.0% vs 42.1%),3.64,153.0,42.1,1.02x non-paved surface area (282.0% vs 275.7%),1.02,282.0,275.7,475253,464617,168550,1,1,yes,0.281014
Street,Lizard,Reproduce,Combined nurse-log/fallen-tree indicators,15.00x combined nurse-log/fallen-tree indicators (11.4% vs 0.8%),15.00,11.4,0.8,16.03x combined nurse-log/fallen-tree indicators (8.0% vs 0.5%),16.03,8.0,0.5,12603,786,157848,1,1,yes,1.068957
Street,Tree,Acquire Resources,Senescent biovolume,5.63x senescent biovolume (12.5% vs 2.2%),5.63,12.5,2.2,∞x senescent biovolume (26.6% vs 0.0%),inf,26.6,0.0,27702,0,104128,1,1,yes,inf
Street,Tree,Communicate,Soil near canopy features,3.61x soil near canopy features (62.5% vs 17.3%),3.61,62.5,17.3,1.52x soil near canopy features (103.4% vs 67.9%),1.52,103.4,67.9,174309,114473,168550,1,1,yes,0.421803
Street,Tree,Reproduce,Grassland-for-recruitment indicator,12.60x grassland-for-recruitment indicator (44.0% vs 3.5%),12.60,44.0,3.5,1.99x grassland-for-recruitment indicator (104.0% vs 52.3%),1.99,104.0,52.3,175272,88112,168550,1,1,yes,0.157873
City,Bird,Acquire Resources,Peeling bark volume,2.11x peeling bark volume (34.5% vs 16.4%),2.11,34.5,16.4,7.91x peeling bark volume (22.7% vs 2.9%),7.91,22.7,2.9,18617,2354,81869,1,1,yes,3.748183
City,Bird,Communicate,Perchable canopy volume,1.47x perchable canopy volume (38.7% vs 26.3%),1.47,38.7,26.3,3.52x perchable canopy volume (22.3% vs 6.3%),3.52,22.3,6.3,148820,42228,668500,1,1,yes,2.397416
City,Bird,Reproduce,Hollow count,2.71x hollow count (54.5% vs 20.1%),2.71,54.5,20.1,10.45x hollow count (29.8% vs 2.8%),10.45,29.8,2.8,533,51,1790,1,1,yes,3.856450
