site,persona,capability,label,canonical_summary,canonical_ratio,canonical_positive_pct,canonical_trending_pct,canonical_positive_value,canonical_trending_value,canonical_baseline_value,template_summary,template_ratio,template_positive_pct,template_trending_pct,template_positive_value,template_trending_value,template_baseline_value
Parade,Bird,Acquire Resources,Peeling bark volume,5.88x peeling bark volume (46.4% vs 7.9%),5.88,46.4,7.9,38223,6497,82373,5.34x peeling bark volume (45.6% vs 8.5%),5.34,45.6,8.5,36672,6870,80401
Parade,Bird,Communicate,Perchable canopy volume,1.39x perchable canopy volume (27.2% vs 19.6%),1.39,27.2,19.6,182186,131058,669924,1.23x perchable canopy volume (25.5% vs 20.7%),1.23,25.5,20.7,165589,134889,650257
Parade,Bird,Reproduce,Hollow count,104.44x hollow count (52.5% vs 0.5%),104.44,52.5,0.5,940,9,1790,134.22x hollow count (57.3% vs 0.4%),134.22,57.3,0.4,1208,9,2110
Parade,Lizard,Acquire Resources,Combined ground-cover/dead branch/epiphyte indicators,18.81x combined ground-cover/dead branch/epiphyte indicators (54.9% vs 2.9%),18.81,54.9,2.9,218132,11595,397201,32.91x combined ground-cover/dead branch/epiphyte indicators (100.8% vs 3.1%),32.91,100.8,3.1,397339,12074,394225
Parade,Lizard,Communicate,Non-paved surface area,1.43x non-paved surface area (73.6% vs 51.4%),1.43,73.6,51.4,119318,83259,162071,2.61x non-paved surface area (134.3% vs 51.4%),2.61,134.3,51.4,217669,83259,162071
Parade,Lizard,Reproduce,Combined nurse-log/fallen-tree indicators,∞x combined nurse-log/fallen-tree indicators (15.1% vs 0.0%),inf,15.1,0.0,23798,0,157794,∞x combined nurse-log/fallen-tree indicators (68.8% vs 0.0%),inf,68.8,0.0,127722,0,185638
Parade,Tree,Acquire Resources,Senescent biovolume,∞x senescent biovolume (94.9% vs 0.0%),inf,94.9,0.0,102757,0,108313,∞x senescent biovolume (97.2% vs 0.0%),inf,97.2,0.0,101432,0,104342
Parade,Tree,Communicate,Soil near canopy features,1.67x soil near canopy features (73.5% vs 43.9%),1.67,73.5,43.9,119112,71209,162071,3.04x soil near canopy features (133.9% vs 44.0%),3.04,133.9,44.0,216965,71376,162071
Parade,Tree,Reproduce,Grassland-for-recruitment indicator,2204.86x grassland-for-recruitment indicator (50.3% vs 0.0%),2204.86,50.3,0.0,81580,37,162071,4896.81x grassland-for-recruitment indicator (111.8% vs 0.0%),4896.81,111.8,0.0,181182,37,162071
Street,Bird,Acquire Resources,Peeling bark volume,11.78x peeling bark volume (34.8% vs 3.0%),11.78,34.8,3.0,28576,2426,82214,10.58x peeling bark volume (31.6% vs 3.0%),10.58,31.6,3.0,25405,2402,80482
