site,persona,capability,label,old_summary,old_ratio,old_left_pct,old_right_pct,new_summary,new_ratio,new_positive_pct,new_trending_pct,new_positive_value,new_trending_value,new_baseline_value,old_direction_sign,new_direction_sign,same_direction,ratio_change_factor
Parade,Bird,Acquire Resources,Peeling bark volume,3.28x peeling bark volume (65.2% vs 19.9%),3.28,65.2,19.9,4.79x peeling bark volume (41.3% vs 8.6%),4.79,41.3,8.6,32543,6790,78891,1,1,yes,1.461214
Parade,Bird,Communicate,Perchable canopy volume,1.48x perchable canopy volume (61.0% vs 41.1%),1.48,61.0,41.1,1.13x perchable canopy volume (23.7% vs 21.0%),1.13,23.7,21.0,150900,133640,637877,1,1,yes,0.762941
Parade,Bird,Reproduce,Hollow count,11.27x hollow count (92.5% vs 8.2%),11.27,92.5,8.2,123.67x hollow count (52.7% vs 0.4%),123.67,52.7,0.4,1113,9,2110,1,1,yes,10.973085
Parade,Lizard,Acquire Resources,Combined ground-cover/dead branch/epiphyte indicators,8.06x combined ground-cover/dead branch/epiphyte indicators (72.9% vs 9.0%),8.06,72.9,9.0,32.95x combined ground-cover/dead branch/epiphyte indicators (89.1% vs 2.7%),32.95,89.1,2.7,392126,11899,440241,1,1,yes,4.088652
Parade,Lizard,Communicate,Non-paved surface area,1.59x non-paved surface area (81.7% vs 51.4%),1.59,81.7,51.4,2.65x non-paved surface area (103.2% vs 38.9%),2.65,103.2,38.9,221012,83259,214260,1,1,yes,1.669504
Parade,Lizard,Reproduce,Combined nurse-log/fallen-tree indicators,439.14x combined nurse-log/fallen-tree indicators (27.5% vs 0.1%),439.14,27.5,0.1,∞x combined nurse-log/fallen-tree indicators (66.7% vs 0.0%),inf,66.7,0.0,131767,0,197422,1,1,yes,inf
Parade,Tree,Acquire Resources,Senescent biovolume,555.00x senescent biovolume (55.5% vs 0.1%),555.00,55.5,0.1,∞x senescent biovolume (85.8% vs 0.0%),inf,85.8,0.0,88554,0,103268,1,1,yes,inf
Parade,Tree,Communicate,Soil near canopy features,1.83x soil near canopy features (81.3% vs 44.4%),1.83,81.3,44.4,3.07x soil near canopy features (102.9% vs 33.5%),3.07,102.9,33.5,220398,71739,214260,1,1,yes,1.678809
Parade,Tree,Reproduce,Grassland-for-recruitment indicator,710.56x grassland-for-recruitment indicator (59.6% vs 0.1%),710.56,59.6,0.1,5018.73x grassland-for-recruitment indicator (86.7% vs 0.0%),5018.73,86.7,0.0,185693,37,214260,1,1,yes,7.063063
Street,Bird,Acquire Resources,Peeling bark volume,5.22x peeling bark volume (33.9% vs 6.5%),5.22,33.9,6.5,9.07x peeling bark volume (32.2% vs 3.5%),9.07,32.2,3.5,25527,2814,79343,1,1,yes,1.737822
Street,Bird,Communicate,Perchable canopy volume,2.39x perchable canopy volume (37.9% vs 15.8%),2.39,37.9,15.8,2.87x perchable canopy volume (32.9% vs 11.4%),2.87,32.9,11.4,210196,73150,639728,1,1,yes,1.202298
Street,Bird,Reproduce,Hollow count,5.84x hollow count (43.1% vs 7.4%),5.84,43.1,7.4,13.56x hollow count (57.2% vs 4.2%),13.56,57.2,4.2,1207,89,2110,1,1,yes,2.322226
Street,Lizard,Acquire Resources,Combined ground-cover/dead branch/epiphyte indicators,14.28x combined ground-cover/dead branch/epiphyte indicators (88.2% vs 6.2%),14.28,88.2,6.2,16.69x combined ground-cover/dead branch/epiphyte indicators (82.8% vs 5.0%),16.69,82.8,5.0,368367,22068,444758,1,1,yes,1.168933
Street,Lizard,Communicate,Non-paved surface area,3.64x non-paved surface area (153.0% vs 42.1%),3.64,153.0,42.1,3.84x non-paved surface area (127.7% vs 33.2%),3.84,127.7,33.2,279995,72877,219217,1,1,yes,1.055500
Street,Lizard,Reproduce,Combined nurse-log/fallen-tree indicators,15.00x combined nurse-log/fallen-tree indicators (11.4% vs 0.8%),15.00,11.4,0.8,12.90x combined nurse-log/fallen-tree indicators (21.4% vs 1.7%),12.90,21.4,1.7,41895,3248,195430,1,1,yes,0.859914
Street,Tree,Acquire Resources,Senescent biovolume,5.63x senescent biovolume (12.5% vs 2.2%),5.63,12.5,2.2,26.52x senescent biovolume (27.7% vs 1.0%),26.52,27.7,1.0,28430,1072,102460,1,1,yes,4.710572
Street,Tree,Communicate,Soil near canopy features,3.61x soil near canopy features (62.5% vs 17.3%),3.61,62.5,17.3,4.24x soil near canopy features (57.9% vs 13.6%),4.24,57.9,13.6,126878,29923,219217,1,1,yes,1.174557
Street,Tree,Reproduce,Grassland-for-recruitment indicator,12.60x grassland-for-recruitment indicator (44.0% vs 3.5%),12.60,44.0,3.5,12.05x grassland-for-recruitment indicator (43.8% vs 3.6%),12.05,43.8,3.6,96056,7972,219217,1,1,yes,0.956284
City,Bird,Acquire Resources,Peeling bark volume,2.11x peeling bark volume (34.5% vs 16.4%),2.11,34.5,16.4,8.30x peeling bark volume (22.5% vs 2.7%),8.30,22.5,2.7,18085,2179,80421,1,1,yes,3.933497
City,Bird,Communicate,Perchable canopy volume,1.47x perchable canopy volume (38.7% vs 26.3%),1.47,38.7,26.3,3.56x perchable canopy volume (21.8% vs 6.1%),3.56,21.8,6.1,142143,39983,650890,1,1,yes,2.418426
City,Bird,Reproduce,Hollow count,2.71x hollow count (54.5% vs 20.1%),2.71,54.5,20.1,8.45x hollow count (31.2% vs 3.7%),8.45,31.2,3.7,659,78,2110,1,1,yes,3.117608
City,Lizard,Acquire Resources,Combined ground-cover/dead branch/epiphyte indicators,4.95x combined ground-cover/dead branch/epiphyte indicators (97.9% vs 19.8%),4.95,97.9,19.8,6.42x combined ground-cover/dead branch/epiphyte indicators (101.2% vs 15.8%),6.42,101.2,15.8,458928,71453,453310,1,1,yes,1.297534
City,Lizard,Communicate,Non-paved surface area,6.72x non-paved surface area (165.0% vs 24.5%),6.72,165.0,24.5,6.07x non-paved surface area (149.0% vs 24.5%),6.07,149.0,24.5,334731,55102,224669,1,1,yes,0.903981
City,Lizard,Reproduce,Combined nurse-log/fallen-tree indicators,5.01x combined nurse-log/fallen-tree indicators (27.2% vs 5.4%),5.01,27.2,5.4,4.40x combined nurse-log/fallen-tree indicators (48.7% vs 11.1%),4.40,48.7,11.1,95945,21812,197125,1,1,yes,0.877989
City,Tree,Acquire Resources,Senescent biovolume,2.89x senescent biovolume (21.9% vs 7.6%),2.89,21.9,7.6,65.65x senescent biovolume (29.5% vs 0.5%),65.65,29.5,0.5,31119,474,105316,1,1,yes,22.716920
City,Tree,Communicate,Soil near canopy features,4.10x soil near canopy features (45.1% vs 11.0%),4.10,45.1,11.0,4.08x soil near canopy features (56.3% vs 13.8%),4.08,56.3,13.8,126461,30994,224669,1,1,yes,0.995165
City,Tree,Reproduce,Grassland-for-recruitment indicator,6.43x grassland-for-recruitment indicator (51.7% vs 8.0%),6.43,51.7,8.0,5.28x grassland-for-recruitment indicator (61.3% vs 11.6%),5.28,61.3,11.6,137818,26091,224669,1,1,yes,0.821494
