site,persona,capability,label,old_summary,old_ratio,old_left_pct,old_right_pct,new_summary,new_ratio,new_positive_pct,new_trending_pct,new_positive_value,new_trending_value,new_baseline_value,old_direction_sign,new_direction_sign,same_direction,ratio_change_factor
Parade,Bird,Acquire Resources,Peeling bark volume,3.28x peeling bark volume (65.2% vs 19.9%),3.28,65.2,19.9,4.90x peeling bark volume (40.9% vs 8.3%),4.90,40.9,8.3,32888,6706,80329,1,1,yes,1.495203
Parade,Bird,Communicate,Perchable canopy volume,1.48x perchable canopy volume (61.0% vs 41.1%),1.48,61.0,41.1,1.14x perchable canopy volume (23.5% vs 20.5%),1.14,23.5,20.5,152255,132984,649014,1,1,yes,0.773589
Parade,Bird,Reproduce,Hollow count,11.27x hollow count (92.5% vs 8.2%),11.27,92.5,8.2,122.89x hollow count (52.4% vs 0.4%),122.89,52.4,0.4,1106,9,2110,1,1,yes,10.904072
Parade,Lizard,Acquire Resources,Combined ground-cover/dead branch/epiphyte indicators,8.06x combined ground-cover/dead branch/epiphyte indicators (72.9% vs 9.0%),8.06,72.9,9.0,33.81x combined ground-cover/dead branch/epiphyte indicators (90.0% vs 2.7%),33.81,90.0,2.7,398647,11791,442698,1,1,yes,4.194718
Parade,Lizard,Communicate,Non-paved surface area,1.59x non-paved surface area (81.7% vs 51.4%),1.59,81.7,51.4,2.69x non-paved surface area (105.0% vs 39.0%),2.69,105.0,39.0,223884,83259,213304,1,1,yes,1.691199
Parade,Lizard,Reproduce,Combined nurse-log/fallen-tree indicators,439.14x combined nurse-log/fallen-tree indicators (27.5% vs 0.1%),439.14,27.5,0.1,∞x combined nurse-log/fallen-tree indicators (68.8% vs 0.0%),inf,68.8,0.0,134641,0,195771,1,1,yes,inf
Parade,Tree,Acquire Resources,Senescent biovolume,555.00x senescent biovolume (55.5% vs 0.1%),555.00,55.5,0.1,∞x senescent biovolume (84.2% vs 0.0%),inf,84.2,0.0,88583,0,105217,1,1,yes,inf
Parade,Tree,Communicate,Soil near canopy features,1.83x soil near canopy features (81.3% vs 44.4%),1.83,81.3,44.4,3.14x soil near canopy features (104.7% vs 33.4%),3.14,104.7,33.4,223419,71171,213304,1,1,yes,1.715402
Parade,Tree,Reproduce,Grassland-for-recruitment indicator,710.56x grassland-for-recruitment indicator (59.6% vs 0.1%),710.56,59.6,0.1,5095.65x grassland-for-recruitment indicator (88.4% vs 0.0%),5095.65,88.4,0.0,188539,37,213304,1,1,yes,7.171314
Street,Bird,Acquire Resources,Peeling bark volume,5.22x peeling bark volume (33.9% vs 6.5%),5.22,33.9,6.5,10.20x peeling bark volume (31.8% vs 3.1%),10.20,31.8,3.1,25831,2533,81316,1,1,yes,1.953599
Street,Bird,Communicate,Perchable canopy volume,2.39x perchable canopy volume (37.9% vs 15.8%),2.39,37.9,15.8,3.03x perchable canopy volume (33.6% vs 11.1%),3.03,33.6,11.1,216656,71616,644169,1,1,yes,1.265793
Street,Bird,Reproduce,Hollow count,5.84x hollow count (43.1% vs 7.4%),5.84,43.1,7.4,14.83x hollow count (56.9% vs 3.8%),14.83,56.9,3.8,1201,81,2110,1,1,yes,2.538897
Street,Lizard,Acquire Resources,Combined ground-cover/dead branch/epiphyte indicators,14.28x combined ground-cover/dead branch/epiphyte indicators (88.2% vs 6.2%),14.28,88.2,6.2,17.94x combined ground-cover/dead branch/epiphyte indicators (81.4% vs 4.5%),17.94,81.4,4.5,367749,20498,451545,1,1,yes,1.256353
Street,Lizard,Communicate,Non-paved surface area,3.64x non-paved surface area (153.0% vs 42.1%),3.64,153.0,42.1,3.87x non-paved surface area (126.9% vs 32.8%),3.87,126.9,32.8,279666,72257,220347,1,1,yes,1.063306
Street,Lizard,Reproduce,Combined nurse-log/fallen-tree indicators,15.00x combined nurse-log/fallen-tree indicators (11.4% vs 0.8%),15.00,11.4,0.8,15.64x combined nurse-log/fallen-tree indicators (20.9% vs 1.3%),15.64,20.9,1.3,40840,2612,195766,1,1,yes,1.042369
Street,Tree,Acquire Resources,Senescent biovolume,5.63x senescent biovolume (12.5% vs 2.2%),5.63,12.5,2.2,53.46x senescent biovolume (26.5% vs 0.5%),53.46,26.5,0.5,28974,542,109197,1,1,yes,9.495127
Street,Tree,Communicate,Soil near canopy features,3.61x soil near canopy features (62.5% vs 17.3%),3.61,62.5,17.3,4.33x soil near canopy features (57.5% vs 13.3%),4.33,57.5,13.3,126635,29237,220347,1,1,yes,1.199814
Street,Tree,Reproduce,Grassland-for-recruitment indicator,12.60x grassland-for-recruitment indicator (44.0% vs 3.5%),12.60,44.0,3.5,12.86x grassland-for-recruitment indicator (43.5% vs 3.4%),12.86,43.5,3.4,95805,7447,220347,1,1,yes,1.021025
City,Bird,Acquire Resources,Peeling bark volume,2.11x peeling bark volume (34.5% vs 16.4%),2.11,34.5,16.4,9.15x peeling bark volume (23.8% vs 2.6%),9.15,23.8,2.6,19172,2096,80507,1,1,yes,4.335046
City,Bird,Communicate,Perchable canopy volume,1.47x perchable canopy volume (38.7% vs 26.3%),1.47,38.7,26.3,3.69x perchable canopy volume (22.3% vs 6.0%),3.69,22.3,6.0,144860,39217,648382,1,1,yes,2.512793
City,Bird,Reproduce,Hollow count,2.71x hollow count (54.5% vs 20.1%),2.71,54.5,20.1,8.88x hollow count (31.6% vs 3.6%),8.88,31.6,3.6,666,75,2110,1,1,yes,3.276753
City,Lizard,Acquire Resources,Combined ground-cover/dead branch/epiphyte indicators,4.95x combined ground-cover/dead branch/epiphyte indicators (97.9% vs 19.8%),4.95,97.9,19.8,6.11x combined ground-cover/dead branch/epiphyte indicators (100.6% vs 16.5%),6.11,100.6,16.5,461520,75502,458893,1,1,yes,1.234886
City,Lizard,Communicate,Non-paved surface area,6.72x non-paved surface area (165.0% vs 24.5%),6.72,165.0,24.5,5.85x non-paved surface area (147.2% vs 25.1%),5.85,147.2,25.1,334457,57140,227252,1,1,yes,0.871025
City,Lizard,Reproduce,Combined nurse-log/fallen-tree indicators,5.01x combined nurse-log/fallen-tree indicators (27.2% vs 5.4%),5.01,27.2,5.4,4.10x combined nurse-log/fallen-tree indicators (59.3% vs 14.5%),4.10,59.3,14.5,117698,28710,198316,1,1,yes,0.818273
