site,persona,capability,label,canonical_summary,canonical_ratio,canonical_positive_pct,canonical_trending_pct,canonical_positive_value,canonical_trending_value,canonical_baseline_value,candidate_summary,candidate_ratio,candidate_positive_pct,candidate_trending_pct,candidate_positive_value,candidate_trending_value,candidate_baseline_value,ratio_change_factor,positive_pct_delta,trending_pct_delta
Parade,Bird,Acquire Resources,Peeling bark volume,5.88x peeling bark volume (46.4% vs 7.9%),5.88,46.4,7.9,38223,6497,82373,4.79x peeling bark volume (41.3% vs 8.6%),4.79,41.3,8.6,32543,6790,78891,0.8146258503401361,-5.100000000000001,0.6999999999999993
Parade,Bird,Communicate,Perchable canopy volume,1.39x perchable canopy volume (27.2% vs 19.6%),1.39,27.2,19.6,182186,131058,669924,1.13x perchable canopy volume (23.7% vs 21.0%),1.13,23.7,21.0,150900,133640,637877,0.8129496402877697,-3.5,1.3999999999999986
Parade,Bird,Reproduce,Hollow count,104.44x hollow count (52.5% vs 0.5%),104.44,52.5,0.5,940,9,1790,123.67x hollow count (52.7% vs 0.4%),123.67,52.7,0.4,1113,9,2110,1.1841248563768672,0.20000000000000284,-0.09999999999999998
Parade,Lizard,Acquire Resources,Combined ground-cover/dead branch/epiphyte indicators,18.81x combined ground-cover/dead branch/epiphyte indicators (54.9% vs 2.9%),18.81,54.9,2.9,218132,11595,397201,32.95x combined ground-cover/dead branch/epiphyte indicators (89.1% vs 2.7%),32.95,89.1,2.7,392126,11899,440241,1.7517278043593836,34.199999999999996,-0.19999999999999973
Parade,Lizard,Communicate,Non-paved surface area,1.43x non-paved surface area (73.6% vs 51.4%),1.43,73.6,51.4,119318,83259,162071,2.65x non-paved surface area (103.2% vs 38.9%),2.65,103.2,38.9,221012,83259,214260,1.8531468531468531,29.60000000000001,-12.5
Parade,Lizard,Reproduce,Combined nurse-log/fallen-tree indicators,∞x combined nurse-log/fallen-tree indicators (15.1% vs 0.0%),inf,15.1,0.0,23798,0,157794,∞x combined nurse-log/fallen-tree indicators (66.7% vs 0.0%),inf,66.7,0.0,131767,0,197422,,51.6,0.0
Parade,Tree,Acquire Resources,Senescent biovolume,∞x senescent biovolume (94.9% vs 0.0%),inf,94.9,0.0,102757,0,108313,∞x senescent biovolume (85.8% vs 0.0%),inf,85.8,0.0,88554,0,103268,,-9.100000000000009,0.0
Parade,Tree,Communicate,Soil near canopy features,1.67x soil near canopy features (73.5% vs 43.9%),1.67,73.5,43.9,119112,71209,162071,3.07x soil near canopy features (102.9% vs 33.5%),3.07,102.9,33.5,220398,71739,214260,1.8383233532934131,29.400000000000006,-10.399999999999999
Parade,Tree,Reproduce,Grassland-for-recruitment indicator,2204.86x grassland-for-recruitment indicator (50.3% vs 0.0%),2204.86,50.3,0.0,81580,37,162071,5018.73x grassland-for-recruitment indicator (86.7% vs 0.0%),5018.73,86.7,0.0,185693,37,214260,2.276212548642544,36.400000000000006,0.0
Street,Bird,Acquire Resources,Peeling bark volume,11.78x peeling bark volume (34.8% vs 3.0%),11.78,34.8,3.0,28576,2426,82214,9.07x peeling bark volume (32.2% vs 3.5%),9.07,32.2,3.5,25527,2814,79343,0.769949066213922,-2.5999999999999943,0.5
