page number;body text;comment
1;This study investigates the future of urban forests in Melbourne, Australia, focusing on large, old trees and their inhabitants. Climate change, aging populations of trees, and urban densification accelerate forest decline. Without mature trees, which take centuries to develop crucial features for habitat, wildlife populations face significant loss.;Needs to be condensed into 1 paragraph
1;stakeholders and participants;is there a difference here?
1;[Typically, no heading in the intro, and I would not use the standard headings such as 'gap'.];Introduction
1;States;Which states?
1;Yet, research on practices for transformative change lags behind that on the nature of the problems (Sharpe et al., 2016).;This sounds good but the sentence doesn't have any content because you are alluding to something that isn't then explained.
1;Cities are critical sites for such transformation, concentrating both environmental impacts and opportunities for new relationships between human and nonhuman urban dwellers;this needs to be clearer - it is grammatically correct but it does not convey adequate meaning. Try to be more direct. Your words and sentences need to have meaning rather than a 'feeling' of what they mean.
1;recogni[z]e [s];suggest changing everything to English English unless the Journal asks for US spelling.
2;classic habitat enhancement;what makes it 'classic'?
2;involve complex power dynamics (Goodwin et al., 2022).;You are leaving sentences unfinished - the reader is needing to interpret what you mean. It's like someone asking you a question and you replying, "I just think that is interesting". Explain the nature of the power dynamics for the reader if you are going to mention them. Don't be mysterious.
2;[While the future is unpredictable and stakeholder goals remain diverse, s [S]peculative visions serve as powerful tools for exploring potential trajectories through prototypes and scenarios, expanding the range of alternative outcomes while coordinating collective action (Edwards & Pettersen, 2023).];It's all a bit too dreamy and ethereal in the intro. Fact, fact, another fact, context, fact, context, hypothesis. Try to be more direct.
2;design processes introduces complex ethical considerations (Parker, Soanes, et al., 2022).;This is another example of a sentence that leaves the reader hanging - what are the ethical considerations? You need to explain them if they are important. If you don't have room in the paper, delete it.
2;Despite improved frameworks such as design for biodiversity, sustainability, and nature-based solutions, decision-making about desirable futures typically remains within human political forces and expertise. Scenario frameworks seeking to broaden urban futures acknowledge a gap in scenarios frameworks that value nonhuman lifeforms and ecosystems beyond human well-being, preferences and interest (Mansur et al., 2022);This can all be condensed and repeats information above.
2;Lack of baselines;I think this is losing track for the reader on where you are going. It might be Ok to be saved for your thesis chapter but seems like a detour for the research and justification of the research. Optional delete.
2;evolved histories;?
2;change;Is this a change or interference?
2;Futures studies increasingly recognises the need to develop communal imagination to think beyond prevailing narratives (Neuhoff et al., 2023). Recent large-scale efforts by the European Union and other institutions demonstrate benefits of empowering human communities in urban climate and energy transitions (Bresciani et al., 2024; Goodwin et al., 2022).;repeats information above - need to combine / condense.
2;For in stance, increasing proximity to nature can lead to conflicts between human communities and wildlife (Bhatia et al., 2020). Research into sensory and behavioural ecologies reveals how profoundly different nonhuman perspectives can be, potentially requiring significant changes to human aesthetic preferences and accepted risk levels.;You can combine / condense this information with that above - it will be clearer for a reader. Remember, it should have everything needed and nothing more.
3;Multispecies futures must therefore develop communicative systems that empower the contributions of more-than-human collectives. While nonhumans cannot participate in traditional stakeholder workshops, some political theorists recognize that they can express agency through behaviours and signals (Disch, 2016). Numerical modelling offers practical pathways to connect these nonhuman signals with human institutions and design processes (Rutten et al., 2024). Yet models in current anthropocentric frameworks presume limited nonhuman capabilities and struggle to capture their contributions.;Limited stakeholder scope: You can combine / condense this information with that above - it will be clearer for a reader. Remember, it should have everything needed and nothing more.
3;Computing can support numerical assessments of resulting alternatives.;need to better link 'computing' into the discussion of models and how they are generated.
3;Our central hypothesis is: nonhuman contributions can generate scenarios which are unattainable to humans on their own.;this should be moved to the introduction, not in the methods. You may need to move this entire section to the introduction. At the end of the intro, you should come to a conclusion that leads you to generate a hypothesis. Your method then goes about how you will test the hypothesis.
3;Originally developed for human development and later extended to animal welfare, this approach recognizes that considered entities require opportunities for fulfilling lives beyond economic indicators;This sort of information is 'given' based on your introduction and does not need to be repeated here. Just explain what you did, not why unless it is for technical clarification. The method is the 'recipe book', not the argument for why you are making the cake.
4;The model also searches urban elements capable of improving arboreal habitat resources, implementing: Rewilding of larger ground areas, Translocating snags to provide vertical habitat structures, Extension of the model also consider deploying: Artificial trees on poles and streetlights. Bio-envelopes of rooftops and facades that can support lightweight and more intensive modifications. Sub-models simulate possible distributions and quantities of resources across trees of different ages, management impacts, and design supports.;too many dot-points for a journal - try to incorporate this information into paragraphs.
5;[In the discussion, we evaluate the generative potential of this framework against others by comparing scenario-building teams, success criteria, ability to describe participants and conditions, and included time scales.];Don't signal, just do.
5;Rather than using standard protocols designed to verify predictive power, we focus on examining the generative potential of the output scenarios. To do so, we perform an additional step and generate visualizations. These show specific points in time and space in the 'positive' scenario. These images help reduce uncertainty by making explicit predictions about how resources might be distributed within a transformed urban fabric. We compile these images using different techniques for generating structures and resources, each with distinct constraints and varying degrees of confidence regarding locations, boundaries, and quantities. To aid interpretation, we provide a table describing the ecological functions and underlying spatial constraint and uncertainties of different visual components in the images.;it is questionable whether this level of detail is required. I would encourage you to just 'do' the analysis rather than signal ahead of time - it should be reasonably obvious from your introduction. This text is kind of the thing that you might give a reviewer if they didn't understand why you did something.
5;Table 3. Main and complementary scenarios. Complementary scenarios marked with *;Table is overkill when 1 sentence describing the 3 things that are not done would suffice.
6;[We show outcomes for the main site in the results.];[no comment text]
6;Section 2 develops scenarios that show how current and trending management practices at the site diminish woodland capabilities while also illustrating possibilities for restoring woodland capabilities through designs that go beyond current management strategies. Section 3 presents scenes that show instantiated perspectives going beyond conventional approaches.;Move these to the relevant sections. Again - don't tell, just do.
6;these capabilities t;which capabilities?
7;try to move the images below some of the descriptive text so that the reader gets and introduction first before being hit with the image.;[no comment text]
7;Trending;? Trending scenarios? Timeline scenarios? Analysis of timeline scenarios? Timeline analysis?
9;This sounds good but the sentence doesn't have any content because you are alluding to something that isn't then explained.;too many dot-points for a journal - try to incorporate this information into paragraphs.
10;[Illustrative Visualisations];[no comment text]
