page number;supervisor;body text;comment
1;JT;This study investigates the future of urban forests in Melbourne, Australia, focusing on large, old trees and their inhabitants. Climate change, aging populations of trees, and urban densification accelerate forest decline. Without mature trees, which take centuries to develop crucial features for habitat, wildlife populations face significant loss.;Needs to be condensed into 1 paragraph
1;JT;stakeholders and participants;is there a difference here?
1;JT;[Typically, no heading in the intro, and I would not use the standard headings such as 'gap'.];Introduction
1;JT;States;Which states?
1;JT;Yet, research on practices for transformative change lags behind that on the nature of the problems (Sharpe et al., 2016).;This sounds good but the sentence doesn't have any content because you are alluding to something that isn't then explained.
1;JT;Cities are critical sites for such transformation, concentrating both environmental impacts and opportunities for new relationships between human and nonhuman urban dwellers;this needs to be clearer - it is grammatically correct but it does not convey adequate meaning. Try to be more direct. Your words and sentences need to have meaning rather than a 'feeling' of what they mean.
1;JT;recogni[z]e [s];suggest changing everything to English English unless the Journal asks for US spelling.
2;PG;[no body text];Consider instead citing the Kunming-Montreal Global Biodiversity Framework (CBD, 2022) in which the Parties to the convention on Biodiversity committed to reduce the impact of urbanisation on biodiversity and human wellbeing by 2030.
2;PG;States have pledged to achieve a vision of "Living in harmony with nature" by 2050 (IPBES, 2019). Multiple large-scale assessments show rapid environmental change means achieving such visions demands substantial changes in human and nonhuman individuals, institutions, societies, and cultures;Consider briefer here.
2;JT;classic habitat enhancement;what makes it 'classic'?
2;JT;involve complex power dynamics (Goodwin et al., 2022).;You are leaving sentences unfinished - the reader is needing to interpret what you mean. It's like someone asking you a question and you replying, "I just think that is interesting". Explain the nature of the power dynamics for the reader if you are going to mention them. Don't be mysterious.
2;JT;[While the future is unpredictable and stakeholder goals remain diverse, s [S]peculative visions serve as powerful tools for exploring potential trajectories through prototypes and scenarios, expanding the range of alternative outcomes while coordinating collective action (Edwards & Pettersen, 2023).];It's all a bit too dreamy and ethereal in the intro. Fact, fact, another fact, context, fact, context, hypothesis. Try to be more direct.
2;JT;design processes introduces complex ethical considerations (Parker, Soanes, et al., 2022).;This is another example of a sentence that leaves the reader hanging - what are the ethical considerations? You need to explain them if they are important. If you don't have room in the paper, delete it.
2;JT;Despite improved frameworks such as design for biodiversity, sustainability, and nature-based solutions, decision-making about desirable futures typically remains within human political forces and expertise. Scenario frameworks seeking to broaden urban futures acknowledge a gap in scenarios frameworks that value nonhuman lifeforms and ecosystems beyond human well-being, preferences and interest (Mansur et al., 2022);This can all be condensed and repeats information above.
2;JT;Lack of baselines;I think this is losing track for the reader on where you are going. It might be Ok to be saved for your thesis chapter but seems like a detour for the research and justification of the research. Optional delete.
2;JT;evolved histories;?
2;JT;change;Is this a change or interference?
2;JT;Futures studies increasingly recognises the need to develop communal imagination to think beyond prevailing narratives (Neuhoff et al., 2023). Recent large-scale efforts by the European Union and other institutions demonstrate benefits of empowering human communities in urban climate and energy transitions (Bresciani et al., 2024);repeats information above - need to combine / condense.
2;JT;For in stance, increasing proximity to nature can lead to conflicts between human communities and wildlife (Bhatia et al., 2020). Research into sensory and behavioural ecologies reveals how profoundly different nonhuman perspectives can be, potentially requiring significant changes to human aesthetic preferences and accepted risk levels.;You can combine / condense this information with that above - it will be clearer for a reader. Remember, it should have everything needed and nothing more.
3;PG;[no body text];It's not clear why this is relevant for your study.
